SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPHARMA,20170906,8978.55,8980.00,8883.75,8897.30,14523775,0,0
NIFTYPHARMA,20170907,8937.75,8985.25,8873.00,8948.80,13852525,0,0
NIFTYPHARMA,20170908,8956.20,8998.55,8793.25,8840.30,12225668,0,0
NIFTYPHARMA,20170911,8888.25,8917.65,8787.65,8804.45,11496484,0,0
NIFTYPHARMA,20170912,8856.80,9009.55,8795.85,8996.10,23874470,0,0
NIFTYPHARMA,20170913,9008.10,9211.75,8967.25,9140.60,36033152,0,0
NIFTYPHARMA,20170914,9257.65,9396.40,9246.80,9380.85,28726094,0,0
NIFTYPHARMA,20170915,9321.80,9378.50,9237.85,9338.00,23953287,0,0
NIFTYPHARMA,20170918,9378.95,9403.55,9217.55,9339.55,17700712,0,0
NIFTYPHARMA,20170919,9357.40,9417.30,9269.60,9293.95,21498162,0,0
NIFTYPHARMA,20170920,9327.40,9372.15,9231.80,9319.85,31410281,0,0
NIFTYPHARMA,20170921,9364.95,9663.10,9363.30,9629.75,46697565,0,0
NIFTYPHARMA,20170922,9629.15,9709.20,9428.80,9465.45,31604670,0,0
NIFTYPHARMA,20170925,9468.00,9474.15,9239.40,9297.05,21014574,0,0
NIFTYPHARMA,20170926,9294.30,9377.20,9234.95,9297.90,15754061,0,0
NIFTYPHARMA,20170927,9254.75,9257.90,8997.25,9036.45,28247923,0,0
NIFTYPHARMA,20170928,9037.65,9182.40,8977.25,9111.55,36153273,0,0
NIFTYPHARMA,20170929,9131.10,9245.30,9112.00,9172.60,18972122,0,0
NIFTYPHARMA,20171003,9308.95,9314.90,9196.15,9214.95,11101907,0,0
NIFTYPHARMA,20171004,9245.20,9407.15,9208.15,9372.30,17045673,0,0
NIFTYPHARMA,20171005,9404.90,9508.65,9377.35,9394.15,16483467,0,0
NIFTYPHARMA,20171006,9444.20,9497.60,9402.50,9477.75,13755529,0,0
NIFTYPHARMA,20171009,9497.15,9568.55,9463.80,9505.70,13269293,0,0
NIFTYPHARMA,20171010,9556.75,9608.90,9506.75,9530.30,10086624,0,0
NIFTYPHARMA,20171011,9563.35,9586.85,9385.15,9441.15,12003774,0,0
NIFTYPHARMA,20171012,9561.50,9592.60,9483.50,9577.10,16410014,0,0
NIFTYPHARMA,20171013,9593.80,9613.80,9526.35,9545.60,9108421,0,0
NIFTYPHARMA,20171016,9588.10,9705.35,9579.45,9692.55,12638664,0,0
NIFTYPHARMA,20171017,9683.35,9752.60,9638.85,9740.55,-,0,0
NIFTYPHARMA,20171018,9760.80,9760.80,9611.60,9622.60,8818977,0,0
NIFTYPHARMA,20171019,9646.40,9655.65,9561.10,9593.50,-,0,0
NIFTYPHARMA,20171023,9637.90,9654.85,9495.75,9542.20,8711431,0,0
NIFTYPHARMA,20171024,9554.55,9561.85,9479.55,9490.00,6929971,0,0
NIFTYPHARMA,20171025,9527.70,9539.85,9332.65,9346.75,7757588,0,0
NIFTYPHARMA,20171026,9385.35,9474.85,9302.20,9428.35,12466437,0,0
NIFTYPHARMA,20171027,9497.20,9722.85,9488.05,9650.10,18349378,0,0
NIFTYPHARMA,20171030,9686.05,9852.60,9599.10,9754.85,19097798,0,0
NIFTYPHARMA,20171031,9753.75,9829.20,9697.95,9756.00,14010680,0,0
NIFTYPHARMA,20171101,9750.05,9827.40,9694.20,9711.55,13851406,0,0
NIFTYPHARMA,20171102,9782.60,10060.35,9782.60,10004.50,35808307,0,0
NIFTYPHARMA,20171103,10052.25,10062.50,9845.35,9897.20,16412566,0,0
NIFTYPHARMA,20171106,9886.70,9962.10,9854.20,9894.10,12907293,0,0
NIFTYPHARMA,20171107,9953.50,9986.60,9364.25,9469.75,49481021,0,0
NIFTYPHARMA,20171108,9553.05,9659.25,9483.40,9494.95,27444627,0,0
NIFTYPHARMA,20171109,9616.65,9623.20,9289.05,9435.85,19437156,0,0
NIFTYPHARMA,20171110,9460.40,9484.10,9262.50,9311.50,21351249,0,0
NIFTYPHARMA,20171113,9334.65,9345.45,9168.70,9238.85,18025677,0,0
NIFTYPHARMA,20171114,9240.90,9284.00,9174.30,9208.45,20513280,0,0
NIFTYPHARMA,20171115,9170.65,9193.80,8990.15,9025.20,17782230,0,0
NIFTYPHARMA,20171116,9045.25,9102.85,9003.60,9082.65,12715341,0,0
NIFTYPHARMA,20171117,9159.50,9221.30,9137.45,9161.80,11395879,0,0
NIFTYPHARMA,20171120,9184.20,9200.40,9119.90,9143.35,10960589,0,0
NIFTYPHARMA,20171121,9173.70,9419.35,9155.20,9346.55,19878038,0,0
NIFTYPHARMA,20171122,9353.55,9365.50,9255.90,9278.00,12741089,0,0
NIFTYPHARMA,20171123,9290.65,9321.60,9244.75,9293.20,11672134,0,0
NIFTYPHARMA,20171124,9320.25,9371.05,9292.95,9364.30,11046009,0,0
NIFTYPHARMA,20171127,9324.95,9392.85,9294.35,9368.70,9800334,0,0
NIFTYPHARMA,20171128,9368.45,9396.65,9285.40,9318.50,10915916,0,0
NIFTYPHARMA,20171129,9336.85,9401.45,9327.80,9351.85,9126934,0,0
NIFTYPHARMA,20171130,9328.30,9364.50,9219.40,9238.75,20390826,0,0
NIFTYPHARMA,20171201,9280.55,9301.20,9055.95,9083.85,11714463,0,0
NIFTYPHARMA,20171204,9137.25,9152.90,9010.70,9052.00,9895655,0,0
NIFTYPHARMA,20171205,9040.20,9074.65,8981.95,9043.15,9562026,0,0
NIFTYPHARMA,20171206,9047.85,9063.25,8923.55,8938.20,9626888,0,0
NIFTYPHARMA,20171207,8944.95,9016.15,8923.55,8960.40,11107963,0,0
NIFTYPHARMA,20171208,8986.60,9121.65,8977.85,9098.45,11022834,0,0
NIFTYPHARMA,20171211,9162.40,9206.10,9129.95,9186.10,10433948,0,0
NIFTYPHARMA,20171212,9271.65,9273.15,9099.20,9119.10,12478910,0,0
NIFTYPHARMA,20171213,9135.80,9160.40,8982.15,9002.80,10989451,0,0
NIFTYPHARMA,20171214,9032.60,9087.95,8975.45,9070.85,10661906,0,0
NIFTYPHARMA,20171215,9152.40,9162.25,9081.10,9100.30,15011960,0,0
NIFTYPHARMA,20171218,9102.20,9286.40,8921.30,9230.45,11878398,0,0
NIFTYPHARMA,20171219,9284.90,9313.65,9233.45,9299.65,10342367,0,0
NIFTYPHARMA,20171220,9314.65,9365.80,9260.35,9285.45,10685674,0,0
NIFTYPHARMA,20171221,9335.25,9418.15,9303.10,9321.60,14243379,0,0
NIFTYPHARMA,20171226,9336.65,9436.10,9307.45,9416.00,10632983,0,0
NIFTYPHARMA,20171227,9447.75,9699.65,9438.50,9639.85,38496851,0,0
NIFTYPHARMA,20171228,9683.10,9732.90,9559.65,9584.20,22513511,0,0
NIFTYPHARMA,20171229,9635.15,9675.10,9590.75,9620.10,13063911,0,0
NIFTYPHARMA,20180101,9627.40,9740.60,9588.95,9618.15,10894193,0
NIFTYPHARMA,20180102,9662.20,9708.45,9531.00,9565.80,9652641,0
NIFTYPHARMA,20180103,9585.65,9605.15,9505.55,9519.55,11198773,0
NIFTYPHARMA,20180104,9535.90,9649.05,9476.45,9633.60,13215036,0
NIFTYPHARMA,20180105,9666.25,9717.15,9614.20,9701.05,13418674,0
NIFTYPHARMA,20180108,9759.80,9939.05,9750.65,9838.25,22589673,0
NIFTYPHARMA,20180109,9866.55,9875.70,9747.00,9770.20,10164458,0
NIFTYPHARMA,20180110,9789.75,9863.50,9716.10,9748.60,13185031,0
NIFTYPHARMA,20180111,9752.60,9849.80,9708.60,9772.85,12680535,0
NIFTYPHARMA,20180112,9795.85,9825.20,9656.00,9741.85,8857860,0
NIFTYPHARMA,20180115,9764.00,9776.55,9650.00,9659.75,8582072,0
NIFTYPHARMA,20180116,9675.60,9722.05,9589.40,9623.45,11977299,0
NIFTYPHARMA,20180117,9648.40,9757.95,9565.95,9744.30,12953576,0
NIFTYPHARMA,20180118,9779.65,9819.40,9581.55,9626.45,12084824,0
NIFTYPHARMA,20180119,9648.60,9668.55,9566.70,9637.80,12639093,0
NIFTYPHARMA,20180122,9621.35,9680.95,9587.10,9654.80,8926182,0
NIFTYPHARMA,20180123,9688.00,9827.35,9670.85,9767.30,14085544,0
NIFTYPHARMA,20180124,9752.25,9903.40,9717.10,9826.40,17427942,0
NIFTYPHARMA,20180125,9857.65,9920.55,9715.80,9729.15,18844865,0
NIFTYPHARMA,20180129,9716.20,9752.05,9592.40,9622.35,13711141,0
NIFTYPHARMA,20180130,9602.95,9605.15,9500.20,9563.55,10124752,0
NIFTYPHARMA,20180131,9550.75,9565.30,9329.20,9384.75,13770662,0
NIFTYPHARMA,20180201,9391.50,9391.70,9075.75,9158.70,18427372,0
NIFTYPHARMA,20180202,9113.95,9305.60,9014.00,9042.75,21783989,0
NIFTYPHARMA,20180205,8910.90,9095.90,8859.65,9069.50,11034640,0
NIFTYPHARMA,20180206,8773.10,8962.75,8729.10,8871.25,18342283,0
NIFTYPHARMA,20180207,8967.55,8975.90,8879.40,8935.80,18893406,0
NIFTYPHARMA,20180208,8949.00,9282.20,8927.85,9262.45,35208584,0
NIFTYPHARMA,20180209,9052.80,9245.90,9044.30,9222.55,23245872,0
NIFTYPHARMA,20180212,9298.05,9453.75,9271.00,9339.95,22125194,0
NIFTYPHARMA,20180214,9367.50,9374.00,9212.25,9249.20,13662098,0
