SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPSE,19980304,-,-,-,721.32,-,0,0
NIFTYPSE,19980305,-,-,-,719.10,-,0,0
NIFTYPSE,19980306,-,-,-,714.32,-,0,0
NIFTYPSE,19980309,-,-,-,725.54,-,0,0
NIFTYPSE,19980310,-,-,-,713.72,-,0,0
NIFTYPSE,19980311,-,-,-,709.14,-,0,0
NIFTYPSE,19980312,-,-,-,702.33,-,0,0
NIFTYPSE,19980316,-,-,-,719.77,-,0,0
NIFTYPSE,19980317,-,-,-,710.04,-,0,0
NIFTYPSE,19980318,-,-,-,718.70,-,0,0
NIFTYPSE,19980319,-,-,-,705.78,-,0,0
NIFTYPSE,19980320,-,-,-,700.93,-,0,0
NIFTYPSE,19980323,-,-,-,704.27,-,0,0
NIFTYPSE,19980324,-,-,-,710.68,-,0,0
NIFTYPSE,19980325,-,-,-,724.48,-,0,0
NIFTYPSE,19980326,-,-,-,717.24,-,0,0
NIFTYPSE,19980327,-,-,-,729.59,-,0,0
NIFTYPSE,19980330,-,-,-,730.33,-,0,0
NIFTYPSE,19980331,-,-,-,743.12,-,0,0
NIFTYPSE,19980401,-,-,-,743.39,-,0,0
NIFTYPSE,19980402,-,-,-,743.00,-,0,0
NIFTYPSE,19980403,-,-,-,743.22,-,0,0
NIFTYPSE,19980406,-,-,-,754.28,-,0,0
NIFTYPSE,19980407,-,-,-,766.27,-,0,0
NIFTYPSE,19980410,-,-,-,781.76,-,0,0
NIFTYPSE,19980413,-,-,-,770.81,-,0,0
NIFTYPSE,19980415,-,-,-,793.35,-,0,0
NIFTYPSE,19980416,-,-,-,776.29,-,0,0
NIFTYPSE,19980417,-,-,-,768.67,-,0,0
NIFTYPSE,19980420,-,-,-,781.83,-,0,0
NIFTYPSE,19980421,-,-,-,782.57,-,0,0
NIFTYPSE,19980422,-,-,-,765.62,-,0,0
NIFTYPSE,19980423,-,-,-,751.07,-,0,0
NIFTYPSE,19980424,-,-,-,738.46,-,0,0
NIFTYPSE,19980427,-,-,-,740.85,-,0,0
NIFTYPSE,19980429,-,-,-,732.07,-,0,0
NIFTYPSE,19980430,-,-,-,735.16,-,0,0
NIFTYPSE,19980504,-,-,-,750.74,-,0,0
NIFTYPSE,19980505,-,-,-,767.90,-,0,0
NIFTYPSE,19980506,-,-,-,752.00,-,0,0
NIFTYPSE,19980508,-,-,-,741.69,-,0,0
NIFTYPSE,19980512,-,-,-,743.25,-,0,0
NIFTYPSE,19980513,-,-,-,719.72,-,0,0
NIFTYPSE,19980514,-,-,-,728.37,-,0,0
NIFTYPSE,19980515,-,-,-,721.34,-,0,0
NIFTYPSE,19980518,-,-,-,730.89,-,0,0
NIFTYPSE,19980519,-,-,-,734.43,-,0,0
NIFTYPSE,19980520,-,-,-,740.25,-,0,0
NIFTYPSE,19980521,-,-,-,727.14,-,0,0
NIFTYPSE,19980522,-,-,-,722.91,-,0,0
NIFTYPSE,19980525,-,-,-,718.18,-,0,0
NIFTYPSE,19980526,-,-,-,720.59,-,0,0
NIFTYPSE,19980527,-,-,-,710.86,-,0,0
NIFTYPSE,19980528,-,-,-,713.70,-,0,0
NIFTYPSE,19980529,-,-,-,707.22,-,0,0
NIFTYPSE,19980601,736.06,736.06,710.83,710.83,-,0,0
NIFTYPSE,19980602,-,-,-,683.60,-,0,0
NIFTYPSE,19980603,-,-,-,689.69,-,0,0
NIFTYPSE,19980604,-,-,-,683.94,-,0,0
NIFTYPSE,19980605,-,-,-,654.65,-,0,0
NIFTYPSE,19980608,-,-,-,644.51,-,0,0
NIFTYPSE,19980609,-,-,-,650.29,-,0,0
NIFTYPSE,19980610,-,-,-,631.98,-,0,0
NIFTYPSE,19980611,-,-,-,631.53,-,0,0
NIFTYPSE,19980612,-,-,-,629.40,-,0,0
NIFTYPSE,19980615,-,-,-,599.72,-,0,0
NIFTYPSE,19980616,-,-,-,582.70,-,0,0
NIFTYPSE,19980617,-,-,-,604.11,-,0,0
NIFTYPSE,19980618,-,-,-,597.01,-,0,0
NIFTYPSE,19980619,-,-,-,573.05,-,0,0
NIFTYPSE,19980622,-,-,-,563.98,-,0,0
NIFTYPSE,19980623,-,-,-,546.40,-,0,0
NIFTYPSE,19980624,-,-,-,565.55,-,0,0
NIFTYPSE,19980625,-,-,-,573.33,-,0,0
NIFTYPSE,19980626,-,-,-,582.29,-,0,0
NIFTYPSE,19980629,-,-,-,597.83,-,0,0
NIFTYPSE,19980630,-,-,-,575.20,-,0,0
NIFTYPSE,19980701,-,-,-,568.75,-,0,0
NIFTYPSE,19980702,-,-,-,563.27,-,0,0
NIFTYPSE,19980703,-,-,-,543.75,-,0,0
NIFTYPSE,19980706,-,-,-,558.39,-,0,0
NIFTYPSE,19980707,-,-,-,553.02,-,0,0
NIFTYPSE,19980708,-,-,-,564.98,-,0,0
NIFTYPSE,19980709,-,-,-,572.70,-,0,0
NIFTYPSE,19980710,-,-,-,575.61,-,0,0
NIFTYPSE,19980713,-,-,-,572.61,-,0,0
NIFTYPSE,19980714,-,-,-,569.72,-,0,0
NIFTYPSE,19980715,-,-,-,565.37,-,0,0
NIFTYPSE,19980716,-,-,-,580.72,-,0,0
NIFTYPSE,19980717,-,-,-,582.43,-,0,0
NIFTYPSE,19980720,-,-,-,568.91,-,0,0
NIFTYPSE,19980721,-,-,-,560.98,-,0,0
NIFTYPSE,19980722,-,-,-,563.94,-,0,0
NIFTYPSE,19980723,-,-,-,547.79,-,0,0
NIFTYPSE,19980724,-,-,-,542.67,-,0,0
NIFTYPSE,19980727,-,-,-,529.55,-,0,0
NIFTYPSE,19980728,-,-,-,536.88,-,0,0
NIFTYPSE,19980729,-,-,-,553.27,-,0,0
NIFTYPSE,19980730,-,-,-,549.85,-,0,0
NIFTYPSE,19980731,-,-,-,547.00,-,0,0
NIFTYPSE,19980803,-,-,-,541.04,-,0,0
NIFTYPSE,19980804,-,-,-,542.73,-,0,0
NIFTYPSE,19980805,-,-,-,546.40,-,0,0
NIFTYPSE,19980806,-,-,-,546.81,-,0,0
NIFTYPSE,19980807,-,-,-,541.36,-,0,0
NIFTYPSE,19980810,-,-,-,539.48,-,0,0
NIFTYPSE,19980811,-,-,-,527.54,-,0,0
NIFTYPSE,19980812,-,-,-,526.77,-,0,0
NIFTYPSE,19980813,-,-,-,531.66,-,0,0
NIFTYPSE,19980814,-,-,-,529.25,-,0,0
NIFTYPSE,19980817,-,-,-,531.76,-,0,0
NIFTYPSE,19980818,-,-,-,522.07,-,0,0
NIFTYPSE,19980819,-,-,-,524.53,-,0,0
NIFTYPSE,19980820,-,-,-,533.83,-,0,0
NIFTYPSE,19980821,-,-,-,528.87,-,0,0
NIFTYPSE,19980824,-,-,-,535.28,-,0,0
NIFTYPSE,19980825,-,-,-,544.69,-,0,0
NIFTYPSE,19980827,-,-,-,555.50,-,0,0
NIFTYPSE,19980828,-,-,-,542.10,-,0,0
NIFTYPSE,19980831,-,-,-,534.48,-,0,0
NIFTYPSE,19980901,-,-,-,523.80,-,0,0
NIFTYPSE,19980902,-,-,-,524.38,-,0,0
NIFTYPSE,19980903,-,-,-,524.92,-,0,0
NIFTYPSE,19980904,-,-,-,528.89,-,0,0
NIFTYPSE,19980907,-,-,-,540.05,-,0,0
NIFTYPSE,19980908,-,-,-,542.75,-,0,0
NIFTYPSE,19980909,-,-,-,553.27,-,0,0
NIFTYPSE,19980910,-,-,-,553.03,-,0,0
NIFTYPSE,19980911,-,-,-,551.32,-,0,0
NIFTYPSE,19980914,-,-,-,560.60,-,0,0
NIFTYPSE,19980915,-,-,-,568.67,-,0,0
NIFTYPSE,19980916,-,-,-,568.72,-,0,0
NIFTYPSE,19980917,-,-,-,564.43,-,0,0
NIFTYPSE,19980918,-,-,-,558.69,-,0,0
NIFTYPSE,19980921,-,-,-,557.33,-,0,0
NIFTYPSE,19980922,-,-,-,552.96,-,0,0
